sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
156,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
157,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
158,0.3475782642783748,0.1586102267539248,11,4,7,2,0,0,9.484164493716024,200,4
159,0.3974293351235906,0.19463197554504486,11,11,0,1,0,0,9.499586999141014,200,4
160,0.7912784514306384,0.3676383356671608,22,15,7,1,0,0,9.04739739771167,200,5
161,0.9517703766129382,0.3044503097797741,11,4,7,1,0,5,11.558469981116676,192,4
162,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
163,0.44641897054171514,0.2740431834776016,8,6,2,1,0,0,9.229711386242785,200,4
164,0.7724115063293004,0.27762786760527586,1,1,0,2,0,1,9.353858174449305,200,5
165,0.3810332635567125,0.18484555341314307,22,15,7,2,0,0,9.258365013718617,200,4
166,2.1204750588277124,0.3854187669412839,14,14,0,2,0,5,10.37969483289176,200,4
167,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
168,0.5582353025984508,0.28315948923172823,22,15,7,1,0,0,8.890011552576457,200,5
169,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
170,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
171,0.3348657350981248,0.14911897758415152,11,4,7,0,0,0,9.83810331752755,192,3
172,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
173,4.246353010251449,0.625202388222137,2,2,0,2,0,5,11.462233254806929,200,3
174,0.7798943467296442,0.3272462145626793,22,15,7,1,0,0,8.517705021739353,200,5
175,1.6635624051627604,0.9932733217973408,10,10,0,1,0,7,10.071582576833762,200,4
176,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
177,1.0598948387672806,0.5658322218252124,12,6,6,1,0,4,9.26005267545495,200,5
178,0.5652576677532953,0.2139146900722746,22,15,7,1,0,0,9.465329564989133,200,4
179,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
180,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
181,0.5573779344074852,0.271584305468362,22,15,7,1,0,0,8.991448148093507,200,5
182,0.5118049247753282,0.2503717183605956,11,11,0,1,0,0,9.01011781998271,200,4
183,0.4851938343446348,0.18411725732190914,11,4,7,0,0,0,9.770345082712636,110,3
184,1.2954471763023148,0.35681673864788194,12,5,7,1,0,5,11.848770249410597,192,4
185,3.326467287287659,0.6868644786074346,3,3,0,3,0,5,11.392167924413155,200,4
186,0.3986935582970108,0.2177407139144599,22,15,7,1,0,0,10.229756084304865,200,4
187,0.39859332834282224,0.18426595821458017,16,10,6,1,0,0,9.49303187168278,200,4
188,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
189,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
190,0.3348657350981248,0.14911897758415152,11,4,7,0,0,0,9.83810331752755,192,3
191,0.3947736551284485,0.18738332264824079,11,11,0,1,0,0,9.48511782571422,200,4
192,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
193,0.04858951693219897,0.03379271007111322,0,0,0,1,0,0,9.324167519853926,200,2
194,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
195,0.604945086014019,0.33799368319086204,21,14,7,1,0,0,10.913432853068663,200,4
196,0.3974542180590144,0.19557276501790644,11,11,0,1,0,1,9.460700596449392,200,4
197,0.40384036678756496,0.20027738260272743,11,4,7,1,0,0,10.782972079674662,200,4
198,3.1164354379813926,0.7439713944315186,1,1,0,2,0,6,11.569723349703809,200,3
199,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
200,0.36705209919339943,0.17383903944660753,11,4,7,2,0,0,9.484894983177071,200,4
201,0.3348657350981248,0.14911897758415152,11,4,7,0,0,0,9.83810331752755,192,3
202,1.486064676977956,0.6684821878175018,12,9,3,2,0,0,8.590494101400187,200,4
203,0.3211613437468173,0.14108148134776793,11,4,7,1,0,0,9.834055477312114,200,3
204,0.393853944836175,0.18289496493371454,22,18,4,1,0,0,9.470292103758005,200,4
205,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
206,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
207,0.6370157840363747,0.3233509143614362,13,6,7,0,0,0,10.704936720437619,194,4
208,3.8450080977179333,0.850045699538788,1,1,0,2,0,6,11.946895122280552,200,3
209,0.3348657350981248,0.14911897758415152,11,4,7,0,0,0,9.83810331752755,192,3
210,2.856215454973826,1.4151825581121962,10,5,5,3,1,8,10.262805712352057,200,4
211,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
212,0.35672372322447443,0.16401018915793653,11,4,7,1,0,0,9.481592089809295,200,4
213,0.1250663062543232,0.07016871982053464,0,0,0,1,0,0,8.856385063559784,200,3
214,0.6143227080594319,0.266005456340771,11,4,7,2,0,0,9.302076913223702,200,5
